repo,pr_number,maint_gap,primary_commits,translation_commits
huggingface/transformers,28933,0,0,0
huggingface/transformers,28696,0,0,0
huggingface/transformers,27077,0,0,0
huggingface/transformers,20188,0,0,0
huggingface/transformers,15833,0,0,0
huggingface/transformers,14015,0,0,0
huggingface/transformers,12701,0,0,0
huggingface/transformers,12596,0,0,0
labuladong/fucking-algorithm,203,0,0,0
Genymobile/scrcpy,3393,0,0,0
electron/electron,11207,0,0,0
electron/electron,11145,0,0,0
electron/electron,9784,0,0,0
electron/electron,8906,0,0,0
electron/electron,7736,0,0,0
electron/electron,5957,0,0,0
electron/electron,4629,0,0,0
electron/electron,4503,0,0,0
electron/electron,2093,0,0,0
kubernetes/kubernetes,46749,0,0,0
kubernetes/kubernetes,46571,0,0,0
krahets/hello-algo,964,0,0,0
krahets/hello-algo,932,0,0,0
goldbergyoni/nodebestpractices,789,0,0,0
goldbergyoni/nodebestpractices,665,0,0,0
goldbergyoni/nodebestpractices,368,0,0,0
goldbergyoni/nodebestpractices,96,0,0,0
mui/material-ui,15020,0,0,0
mui/material-ui,13128,0,0,0
ant-design/ant-design,30737,0,0,0
iluwatar/java-design-patterns,2474,0,0,0
iluwatar/java-design-patterns,2456,0,0,0
iluwatar/java-design-patterns,2439,0,0,0
iluwatar/java-design-patterns,2429,0,0,0
iluwatar/java-design-patterns,2338,0,0,0
iluwatar/java-design-patterns,2322,0,0,0
iluwatar/java-design-patterns,2173,0,0,0
iluwatar/java-design-patterns,2172,0,0,0
iluwatar/java-design-patterns,2171,0,0,0
iluwatar/java-design-patterns,2126,0,0,0
iluwatar/java-design-patterns,2122,0,0,0
iluwatar/java-design-patterns,2117,0,0,0
iluwatar/java-design-patterns,2109,0,0,0
iluwatar/java-design-patterns,2090,0,0,0
iluwatar/java-design-patterns,2086,0,0,0
iluwatar/java-design-patterns,2078,0,0,0
iluwatar/java-design-patterns,2072,0,0,0
iluwatar/java-design-patterns,2060,0,0,0
iluwatar/java-design-patterns,2046,0,0,0
iluwatar/java-design-patterns,1744,0,0,0
iluwatar/java-design-patterns,1582,0,0,0
microsoft/Web-Dev-For-Beginners,949,0,0,0
microsoft/Web-Dev-For-Beginners,805,0,0,0
microsoft/Web-Dev-For-Beginners,597,0,0,0
rustdesk/rustdesk,7655,0,0,0
rustdesk/rustdesk,1165,0,0,0
rustdesk/rustdesk,662,0,0,0
rustdesk/rustdesk,630,0,0,0
rustdesk/rustdesk,402,0,0,0
rustdesk/rustdesk,326,0,0,0
rustdesk/rustdesk,320,0,0,0
rustdesk/rustdesk,315,0,0,0
rustdesk/rustdesk,143,0,0,0
rustdesk/rustdesk,101,0,0,0
bitcoin/bitcoin,4477,0,0,0
bitcoin/bitcoin,4041,0,0,0
langgenius/dify,8487,0,0,0
anuraghazra/github-readme-stats,2616,0,0,0
anuraghazra/github-readme-stats,412,0,0,0
anuraghazra/github-readme-stats,382,0,0,0
anuraghazra/github-readme-stats,372,0,0,0
anuraghazra/github-readme-stats,362,0,0,0
anuraghazra/github-readme-stats,171,0,0,0
anuraghazra/github-readme-stats,109,0,0,0
microsoft/ML-For-Beginners,292,0,0,0
microsoft/ML-For-Beginners,279,0,0,0
microsoft/ML-For-Beginners,278,0,0,0
microsoft/ML-For-Beginners,257,0,0,0
microsoft/ML-For-Beginners,198,0,0,0
microsoft/ML-For-Beginners,190,0,0,0
microsoft/ML-For-Beginners,187,0,0,0
microsoft/ML-For-Beginners,180,0,0,0
microsoft/ML-For-Beginners,174,0,0,0
microsoft/ML-For-Beginners,172,0,0,0
microsoft/ML-For-Beginners,171,0,0,0
microsoft/ML-For-Beginners,167,0,0,0
microsoft/ML-For-Beginners,91,0,0,0
microsoft/ML-For-Beginners,87,0,0,0
microsoft/ML-For-Beginners,82,0,0,0
microsoft/ML-For-Beginners,81,0,0,0
xtekky/gpt4free,1634,0,0,0
xtekky/gpt4free,1274,0,0,0
TheAlgorithms/Java,657,0,0,0
TheAlgorithms/Java,654,0,0,0
h5bp/Front-end-Developer-Interview-Questions,497,0,0,0
h5bp/Front-end-Developer-Interview-Questions,372,0,0,0
ultralytics/yolov5,10725,0,0,0
ultralytics/yolov5,10445,0,0,0
mozilla/pdf.js,10054,0,0,0
mozilla/pdf.js,9860,0,0,0
jekyll/jekyll,2081,0,0,0
DefinitelyTyped/DefinitelyTyped,65848,0,0,0
DefinitelyTyped/DefinitelyTyped,65842,0,0,0
DefinitelyTyped/DefinitelyTyped,64116,0,0,0
DefinitelyTyped/DefinitelyTyped,62078,0,0,0
DefinitelyTyped/DefinitelyTyped,55622,0,0,0
DefinitelyTyped/DefinitelyTyped,49779,0,0,0
DefinitelyTyped/DefinitelyTyped,49667,0,0,0
DefinitelyTyped/DefinitelyTyped,49614,0,0,0
firstcontributions/first-contributions,92083,0,0,0
firstcontributions/first-contributions,91719,0,0,0
firstcontributions/first-contributions,91484,0,0,0
firstcontributions/first-contributions,86216,0,0,0
firstcontributions/first-contributions,86132,0,0,0
firstcontributions/first-contributions,81212,0,0,0
firstcontributions/first-contributions,77789,0,0,0
firstcontributions/first-contributions,77401,0,0,0
firstcontributions/first-contributions,72919,0,0,0
firstcontributions/first-contributions,70718,0,0,0
firstcontributions/first-contributions,69255,0,0,0
firstcontributions/first-contributions,66423,0,0,0
firstcontributions/first-contributions,66330,0,0,0
firstcontributions/first-contributions,64515,0,0,0
firstcontributions/first-contributions,60658,0,0,0
firstcontributions/first-contributions,60107,0,0,0
firstcontributions/first-contributions,60092,0,0,0
firstcontributions/first-contributions,60030,0,0,0
firstcontributions/first-contributions,57367,0,0,0
firstcontributions/first-contributions,55981,0,0,0
firstcontributions/first-contributions,54258,0,0,0
firstcontributions/first-contributions,53677,0,0,0
firstcontributions/first-contributions,52066,0,0,0
firstcontributions/first-contributions,50762,0,0,0
firstcontributions/first-contributions,49403,0,0,0
firstcontributions/first-contributions,45359,0,0,0
firstcontributions/first-contributions,42165,0,0,0
firstcontributions/first-contributions,35048,0,0,0
firstcontributions/first-contributions,33896,0,0,0
firstcontributions/first-contributions,32182,0,0,0
firstcontributions/first-contributions,31869,0,0,0
firstcontributions/first-contributions,30618,0,0,0
firstcontributions/first-contributions,27398,0,0,0
firstcontributions/first-contributions,23819,0,0,0
firstcontributions/first-contributions,23144,0,0,0
firstcontributions/first-contributions,21778,0,0,0
FlowiseAI/Flowise,2257,0,0,0
FlowiseAI/Flowise,627,0,0,0
qmk/qmk_firmware,8507,0,0,0
qmk/qmk_firmware,7016,0,0,0
github/docs,256,0,0,0
